symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:ACM/TRY,ACM/TRY,ACM,TRY,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.01
binance:ACM/USDT,ACM/USDT,ACM,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ACT/BRL,ACT/BRL,ACT,BRL,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.001
binance:ACT/EUR,ACT/EUR,ACT,EUR,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0001
binance:ACT/FDUSD,ACT/FDUSD,ACT,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACT/TRY,ACT/TRY,ACT,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:ACT/USDC,ACT/USDC,ACT,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACT/USDT,ACT/USDT,ACT,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACT/USDT:USDT,ACT/USDT:USDT,ACT,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:ACX/FDUSD,ACX/FDUSD,ACX,FDUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0001
binance:ACX/TRY,ACX/TRY,ACX,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:ACX/USDC,ACX/USDC,ACX,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACX/USDT,ACX/USDT,ACX,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACX/USDT:USDT,ACX/USDT:USDT,ACX,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:ADA/AUD,ADA/AUD,ADA,AUD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0001
binance:ADA/BIDR,ADA/BIDR,ADA,BIDR,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,1
binance:ADA/BKRW,ADA/BKRW,ADA,BKRW,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.01
binance:ADA/BNB,ADA/BNB,ADA,BNB,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.000001
binance:ADA/BRL,ADA/BRL,ADA,BRL,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ADA/BTC,ADA/BTC,ADA,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:ADA/BUSD,ADA/BUSD,ADA,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0001
binance:ADA/ETH,ADA/ETH,ADA,ETH,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:ADA/EUR,ADA/EUR,ADA,EUR,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/FDUSD,ADA/FDUSD,ADA,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/GBP,ADA/GBP,ADA,GBP,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0001
binance:ADA/JPY,ADA/JPY,ADA,JPY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:ADA/PAX,ADA/PAX,ADA,PAX,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.00001
binance:ADA/RUB,ADA/RUB,ADA,RUB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.01
binance:ADA/TRY,ADA/TRY,ADA,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
