symbol,base,quote,cotiza_vs_directo,origen,1_base_equivale_x_quote,1_quote_equivale_x_base
EGLD/BNB,EGLD,BNB,base:EGLD; quote:BNB,indirecto,,
EGLD/BTC,EGLD,BTC,base:EGLD; quote:BTC,indirecto,,
EGLD/ETH,EGLD,ETH,base:EGLD; quote:ETH,indirecto,,
EGLD/FDUSD,EGLD,FDUSD,base:EGLD; quote:FDUSD,indirecto,,
EGLD/USDC,EGLD,USDC,base:EGLD; quote:USDC,indirecto,,
EIGEN/BTC,EIGEN,BTC,base:EIGEN; quote:BTC,indirecto,,
EIGEN/FDUSD,EIGEN,FDUSD,base:EIGEN; quote:FDUSD,indirecto,,
EIGEN/USDC,EIGEN,USDC,base:EIGEN; quote:USDC,indirecto,,
ENA/BNB,ENA,BNB,base:ENA; quote:BNB,indirecto,,
ENA/BTC,ENA,BTC,base:ENA; quote:BTC,indirecto,,
ENA/FDUSD,ENA,FDUSD,base:ENA; quote:FDUSD,indirecto,,
ENA/USDC,ENA,USDC,base:ENA; quote:USDC,indirecto,,
ENJ/BTC,ENJ,BTC,base:ENJ; quote:BTC,indirecto,,
ENJ/USDC,ENJ,USDC,base:ENJ; quote:USDC,indirecto,,
ENS/BTC,ENS,BTC,base:ENS; quote:BTC,indirecto,,
ENS/FDUSD,ENS,FDUSD,base:ENS; quote:FDUSD,indirecto,,
ENS/USDC,ENS,USDC,base:ENS; quote:USDC,indirecto,,
EPIC/USDC,EPIC,USDC,base:EPIC; quote:USDC,indirecto,,
ERA/BNB,ERA,BNB,base:ERA; quote:BNB,indirecto,,
ERA/FDUSD,ERA,FDUSD,base:ERA; quote:FDUSD,indirecto,,
ERA/USDC,ERA,USDC,base:ERA; quote:USDC,indirecto,,
ETC/BNB,ETC,BNB,base:ETC; quote:BNB,indirecto,,
ETC/BTC,ETC,BTC,base:ETC; quote:BTC,indirecto,,
ETC/ETH,ETC,ETH,base:ETC; quote:ETH,indirecto,,
ETC/FDUSD,ETC,FDUSD,base:ETC; quote:FDUSD,indirecto,,
ETC/USDC,ETC,USDC,base:ETC; quote:USDC,indirecto,,
ETH/BTC,ETH,BTC,base:ETH; quote:BTC,indirecto,,
ETH/DAI,ETH,DAI,base:ETH; quote:DAI,invertido,,
ETH/EURI,ETH,EURI,base:ETH; quote:EURI,indirecto,,
ETH/FDUSD,ETH,FDUSD,base:ETH; quote:FDUSD,indirecto,,
ETH/TUSD,ETH,TUSD,base:ETH; quote:TUSD,indirecto,,
ETH/USDC,ETH,USDC,base:ETH; quote:USDC,indirecto,,
ETHFI/FDUSD,ETHFI,FDUSD,base:ETHFI; quote:FDUSD,indirecto,,
ETHFI/USDC,ETHFI,USDC,base:ETHFI; quote:USDC,indirecto,,
EURI/USDC,EURI,USDC,base:EURI; quote:USDC,indirecto,,
FDUSD/USDC,FDUSD,USDC,base:FDUSD; quote:USDC,indirecto,,
FET/BNB,FET,BNB,base:FET; quote:BNB,indirecto,,
FET/BTC,FET,BTC,base:FET; quote:BTC,indirecto,,
FET/FDUSD,FET,FDUSD,base:FET; quote:FDUSD,indirecto,,
FET/USDC,FET,USDC,base:FET; quote:USDC,indirecto,,
FIDA/BTC,FIDA,BTC,base:FIDA; quote:BTC,indirecto,,
FIL/BTC,FIL,BTC,base:FIL; quote:BTC,indirecto,,
FIL/ETH,FIL,ETH,base:FIL; quote:ETH,indirecto,,
FIL/FDUSD,FIL,FDUSD,base:FIL; quote:FDUSD,indirecto,,
FIL/USDC,FIL,USDC,base:FIL; quote:USDC,indirecto,,
FIS/BTC,FIS,BTC,base:FIS; quote:BTC,indirecto,,
FLM/BTC,FLM,BTC,base:FLM; quote:BTC,indirecto,,
FLOKI/FDUSD,FLOKI,FDUSD,base:FLOKI; quote:FDUSD,indirecto,,
FLOKI/USDC,FLOKI,USDC,base:FLOKI; quote:USDC,indirecto,,
FLOW/BTC,FLOW,BTC,base:FLOW; quote:BTC,indirecto,,
FLUX/BTC,FLUX,BTC,base:FLUX; quote:BTC,indirecto,,
FLUX/USDC,FLUX,USDC,base:FLUX; quote:USDC,indirecto,,
