info_status,exchange,symbol_id,symbol,info_isSpotTradingAllowed
TRADING,binance,binance:ALPHA/USDT:USDT,ALPHA/USDT:USDT,
BREAK,binance,binance:ALPINE/BTC,ALPINE/BTC,True
BREAK,binance,binance:ALPINE/BUSD,ALPINE/BUSD,True
BREAK,binance,binance:ALPINE/EUR,ALPINE/EUR,True
TRADING,binance,binance:ALPINE/TRY,ALPINE/TRY,True
TRADING,binance,binance:ALPINE/USDT,ALPINE/USDT,True
TRADING,binance,binance:ALPINE/USDT:USDT,ALPINE/USDT:USDT,
TRADING,binance,binance:ALT/BNB,ALT/BNB,True
TRADING,binance,binance:ALT/BTC,ALT/BTC,True
TRADING,binance,binance:ALT/FDUSD,ALT/FDUSD,True
TRADING,binance,binance:ALT/TRY,ALT/TRY,True
TRADING,binance,binance:ALT/USDC,ALT/USDC,True
TRADING,binance,binance:ALT/USDT,ALT/USDT,True
TRADING,binance,binance:ALT/USDT:USDT,ALT/USDT:USDT,
BREAK,binance,binance:AMB/BNB,AMB/BNB,True
BREAK,binance,binance:AMB/BTC,AMB/BTC,True
BREAK,binance,binance:AMB/BUSD,AMB/BUSD,True
BREAK,binance,binance:AMB/ETH,AMB/ETH,True
BREAK,binance,binance:AMB/USDT,AMB/USDT,True
SETTLING,binance,binance:AMB/USDT:USDT,AMB/USDT:USDT,
BREAK,binance,binance:AMP/BNB,AMP/BNB,True
BREAK,binance,binance:AMP/BTC,AMP/BTC,True
BREAK,binance,binance:AMP/BUSD,AMP/BUSD,True
TRADING,binance,binance:AMP/TRY,AMP/TRY,True
TRADING,binance,binance:AMP/USDT,AMP/USDT,True
BREAK,binance,binance:ANC/BNB,ANC/BNB,True
BREAK,binance,binance:ANC/BTC,ANC/BTC,True
BREAK,binance,binance:ANC/BUSD,ANC/BUSD,True
BREAK,binance,binance:ANC/USDT,ANC/USDT,True
BREAK,binance,binance:ANIME/BNB,ANIME/BNB,True
BREAK,binance,binance:ANIME/FDUSD,ANIME/FDUSD,True
TRADING,binance,binance:ANIME/TRY,ANIME/TRY,True
TRADING,binance,binance:ANIME/USDC,ANIME/USDC,True
TRADING,binance,binance:ANIME/USDT,ANIME/USDT,True
TRADING,binance,binance:ANIME/USDT:USDT,ANIME/USDT:USDT,
BREAK,binance,binance:ANKR/BNB,ANKR/BNB,True
