precision_amount,precision_price,exchange,symbol_id,symbol
1.0,1e-05,binance,binance:ANKR/USDT:USDT,ANKR/USDT:USDT
0.1,1e-05,binance,binance:ANT/BNB,ANT/BNB
0.1,1e-08,binance,binance:ANT/BTC,ANT/BTC
0.1,0.001,binance,binance:ANT/BUSD,ANT/BUSD
0.1,0.001,binance,binance:ANT/USDT,ANT/USDT
0.01,1e-07,binance,binance:ANY/BTC,ANY/BTC
0.01,0.01,binance,binance:ANY/BUSD,ANY/BUSD
0.01,0.01,binance,binance:ANY/USDT,ANY/USDT
0.01,0.001,binance,binance:APE/AUD,APE/AUD
0.001,1e-06,binance,binance:APE/BNB,APE/BNB
0.01,0.01,binance,binance:APE/BRL,APE/BRL
0.01,1e-08,binance,binance:APE/BTC,APE/BTC
0.01,0.001,binance,binance:APE/BUSD,APE/BUSD
0.001,1e-07,binance,binance:APE/ETH,APE/ETH
0.01,0.001,binance,binance:APE/EUR,APE/EUR
0.01,0.0001,binance,binance:APE/FDUSD,APE/FDUSD
0.01,0.001,binance,binance:APE/GBP,APE/GBP
0.001,0.01,binance,binance:APE/TRY,APE/TRY
1.0,0.001,binance,binance:APE/USD:APE,APE/USD:APE
0.01,0.0001,binance,binance:APE/USDC,APE/USDC
0.01,0.0001,binance,binance:APE/USDT,APE/USDT
1.0,0.0001,binance,binance:APE/USDT:USDT,APE/USDT:USDT
0.01,1e-05,binance,binance:API3/BNB,API3/BNB
0.01,1e-08,binance,binance:API3/BTC,API3/BTC
0.01,0.001,binance,binance:API3/BUSD,API3/BUSD
0.01,0.01,binance,binance:API3/TRY,API3/TRY
0.01,0.001,binance,binance:API3/USDC,API3/USDC
0.01,0.001,binance,binance:API3/USDT,API3/USDT
0.1,0.0001,binance,binance:API3/USDT:USDT,API3/USDT:USDT
1.0,1e-06,binance,binance:APPC/BNB,APPC/BNB
1.0,1e-08,binance,binance:APPC/BTC,APPC/BTC
1.0,1e-07,binance,binance:APPC/ETH,APPC/ETH
0.01,0.01,binance,binance:APT/BRL,APT/BRL
0.01,1e-08,binance,binance:APT/BTC,APT/BTC
0.01,0.0001,binance,binance:APT/BUSD,APT/BUSD
0.01,1e-06,binance,binance:APT/ETH,APT/ETH
0.01,0.001,binance,binance:APT/EUR,APT/EUR
0.01,0.001,binance,binance:APT/FDUSD,APT/FDUSD
0.01,0.1,binance,binance:APT/JPY,APT/JPY
0.01,0.1,binance,binance:APT/TRY,APT/TRY
1.0,0.001,binance,binance:APT/USD:APT,APT/USD:APT
0.01,0.001,binance,binance:APT/USDC,APT/USDC
0.01,0.001,binance,binance:APT/USDT,APT/USDT
0.1,0.0001,binance,binance:APT/USDT:USDT,APT/USDT:USDT
0.01,1e-05,binance,binance:AR/BNB,AR/BNB
0.01,1e-07,binance,binance:AR/BTC,AR/BTC
0.01,0.001,binance,binance:AR/BUSD,AR/BUSD
0.01,0.01,binance,binance:AR/FDUSD,AR/FDUSD
0.01,0.1,binance,binance:AR/TRY,AR/TRY
0.01,0.01,binance,binance:AR/USDC,AR/USDC
0.01,0.01,binance,binance:AR/USDT,AR/USDT
0.1,0.001,binance,binance:AR/USDT:USDT,AR/USDT:USDT
0.1,1e-08,binance,binance:ARB/BTC,ARB/BTC
0.1,1e-07,binance,binance:ARB/ETH,ARB/ETH
0.1,0.0001,binance,binance:ARB/EUR,ARB/EUR
0.1,0.0001,binance,binance:ARB/FDUSD,ARB/FDUSD
0.1,0.1,binance,binance:ARB/RUB,ARB/RUB
0.1,0.01,binance,binance:ARB/TRY,ARB/TRY
0.1,0.0001,binance,binance:ARB/TUSD,ARB/TUSD
0.1,0.0001,binance,binance:ARB/USDC,ARB/USDC
0.1,0.0001,binance,binance:ARB/USDC:USDC,ARB/USDC:USDC
0.1,0.0001,binance,binance:ARB/USDT,ARB/USDT
0.1,0.0001,binance,binance:ARB/USDT:USDT,ARB/USDT:USDT
1.0,1e-05,binance,binance:ARC/USDT:USDT,ARC/USDT:USDT
1.0,1e-06,binance,binance:ARDR/BNB,ARDR/BNB
1.0,1e-08,binance,binance:ARDR/BTC,ARDR/BTC
1.0,1e-08,binance,binance:ARDR/ETH,ARDR/ETH
1.0,1e-05,binance,binance:ARDR/USDT,ARDR/USDT
0.1,1e-08,binance,binance:ARK/BTC,ARK/BTC
1.0,0.0001,binance,binance:ARK/BUSD,ARK/BUSD
0.01,1e-06,binance,binance:ARK/ETH,ARK/ETH
0.1,0.01,binance,binance:ARK/TRY,ARK/TRY
1.0,0.0001,binance,binance:ARK/USDT,ARK/USDT
1.0,0.0001,binance,binance:ARK/USDT:USDT,ARK/USDT:USDT
0.1,1e-06,binance,binance:ARKM/BNB,ARKM/BNB
0.1,1e-08,binance,binance:ARKM/BTC,ARKM/BTC
0.1,0.001,binance,binance:ARKM/FDUSD,ARKM/FDUSD
1.0,0.01,binance,binance:ARKM/RUB,ARKM/RUB
0.1,0.01,binance,binance:ARKM/TRY,ARKM/TRY
0.1,0.001,binance,binance:ARKM/TUSD,ARKM/TUSD
0.1,0.001,binance,binance:ARKM/USDC,ARKM/USDC
0.1,0.001,binance,binance:ARKM/USDT,ARKM/USDT
1.0,0.0001,binance,binance:ARKM/USDT:USDT,ARKM/USDT:USDT
1.0,1e-08,binance,binance:ARN/BTC,ARN/BTC
1.0,1e-08,binance,binance:ARN/ETH,ARN/ETH
1.0,1e-07,binance,binance:ARPA/BNB,ARPA/BNB
1.0,1e-08,binance,binance:ARPA/BTC,ARPA/BTC
0.1,1e-05,binance,binance:ARPA/BUSD,ARPA/BUSD
1.0,1e-08,binance,binance:ARPA/ETH,ARPA/ETH
1.0,0.001,binance,binance:ARPA/RUB,ARPA/RUB
1.0,0.0001,binance,binance:ARPA/TRY,ARPA/TRY
0.1,1e-05,binance,binance:ARPA/USDT,ARPA/USDT
1.0,1e-05,binance,binance:ARPA/USDT:USDT,ARPA/USDT:USDT
0.1,1e-07,binance,binance:ASR/BTC,ASR/BTC
0.1,0.001,binance,binance:ASR/BUSD,ASR/BUSD
0.1,0.01,binance,binance:ASR/TRY,ASR/TRY
0.1,0.001,binance,binance:ASR/USDT,ASR/USDT
0.1,0.001,binance,binance:ASR/USDT:USDT,ASR/USDT:USDT
1.0,1e-08,binance,binance:AST/BTC,AST/BTC
1.0,1e-07,binance,binance:AST/ETH,AST/ETH
1.0,0.0001,binance,binance:AST/USDT,AST/USDT
0.1,1e-08,binance,binance:ASTR/BTC,ASTR/BTC
0.1,0.0001,binance,binance:ASTR/BUSD,ASTR/BUSD
0.1,1e-08,binance,binance:ASTR/ETH,ASTR/ETH
0.1,1e-05,binance,binance:ASTR/USDT,ASTR/USDT
1.0,1e-06,binance,binance:ASTR/USDT:USDT,ASTR/USDT:USDT
1.0,1e-06,binance,binance:ATA/BNB,ATA/BNB
1.0,1e-08,binance,binance:ATA/BTC,ATA/BTC
1.0,0.0001,binance,binance:ATA/BUSD,ATA/BUSD
1.0,0.0001,binance,binance:ATA/USDT,ATA/USDT
1.0,0.0001,binance,binance:ATA/USDT:USDT,ATA/USDT:USDT
1.0,1e-05,binance,binance:ATH/USDT:USDT,ATH/USDT:USDT
0.01,1e-07,binance,binance:ATM/BTC,ATM/BTC
0.01,0.001,binance,binance:ATM/BUSD,ATM/BUSD
0.1,0.01,binance,binance:ATM/TRY,ATM/TRY
0.01,0.001,binance,binance:ATM/USDT,ATM/USDT
0.001,1.0,binance,binance:ATOM/BIDR,ATOM/BIDR
0.01,1e-05,binance,binance:ATOM/BNB,ATOM/BNB
0.001,0.01,binance,binance:ATOM/BRL,ATOM/BRL
0.01,1e-07,binance,binance:ATOM/BTC,ATOM/BTC
0.01,0.001,binance,binance:ATOM/BUSD,ATOM/BUSD
0.001,1e-06,binance,binance:ATOM/ETH,ATOM/ETH
0.01,0.001,binance,binance:ATOM/EUR,ATOM/EUR
0.01,0.001,binance,binance:ATOM/FDUSD,ATOM/FDUSD
0.001,0.001,binance,binance:ATOM/PAX,ATOM/PAX
0.001,0.1,binance,binance:ATOM/TRY,ATOM/TRY
0.001,0.001,binance,binance:ATOM/TUSD,ATOM/TUSD
1.0,0.001,binance,binance:ATOM/USD:ATOM,ATOM/USD:ATOM
0.01,0.001,binance,binance:ATOM/USDC,ATOM/USDC
0.01,0.001,binance,binance:ATOM/USDT,ATOM/USDT
0.01,0.001,binance,binance:ATOM/USDT:USDT,ATOM/USDT:USDT
0.01,1e-07,binance,binance:AUCTION/BTC,AUCTION/BTC
0.01,0.01,binance,binance:AUCTION/BUSD,AUCTION/BUSD
0.01,0.01,binance,binance:AUCTION/FDUSD,AUCTION/FDUSD
0.01,0.1,binance,binance:AUCTION/TRY,AUCTION/TRY
0.01,0.01,binance,binance:AUCTION/USDC,AUCTION/USDC
0.01,0.01,binance,binance:AUCTION/USDT,AUCTION/USDT
0.01,0.001,binance,binance:AUCTION/USDT:USDT,AUCTION/USDT:USDT
1.0,0.0001,binance,binance:AUD/BUSD,AUD/BUSD
1.0,0.0001,binance,binance:AUD/USDC,AUD/USDC
1.0,0.0001,binance,binance:AUD/USDT,AUD/USDT
0.1,1e-08,binance,binance:AUDIO/BTC,AUDIO/BTC
0.1,0.0001,binance,binance:AUDIO/BUSD,AUDIO/BUSD
0.01,0.001,binance,binance:AUDIO/TRY,AUDIO/TRY
0.1,0.0001,binance,binance:AUDIO/USDT,AUDIO/USDT
0.001,1e-05,binance,binance:AUTO/BTC,AUTO/BTC
0.001,0.1,binance,binance:AUTO/BUSD,AUTO/BUSD
0.001,0.1,binance,binance:AUTO/USDT,AUTO/USDT
0.1,1e-06,binance,binance:AVA/BNB,AVA/BNB
0.1,1e-08,binance,binance:AVA/BTC,AVA/BTC
0.1,0.001,binance,binance:AVA/BUSD,AVA/BUSD
0.1,0.0001,binance,binance:AVA/USDT,AVA/USDT
0.1,0.0001,binance,binance:AVA/USDT:USDT,AVA/USDT:USDT
1.0,1e-05,binance,binance:AVAAI/USDT:USDT,AVAAI/USDT:USDT
