exchange,symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker
binance,binance:AI/BNB,AI/BNB,AI,BNB,spot,True,False,False,False,True,0.001,0.001
binance,binance:AI/BTC,AI/BTC,AI,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AI/FDUSD,AI/FDUSD,AI,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:AI/TRY,AI/TRY,AI,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:AI/TUSD,AI/TUSD,AI,TUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AI/USDT,AI/USDT,AI,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AI/USDT:USDT,AI/USDT:USDT,AI,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AI16Z/USDT:USDT,AI16Z/USDT:USDT,AI16Z,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AIN/USDT:USDT,AIN/USDT:USDT,AIN,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AIO/USDT:USDT,AIO/USDT:USDT,AIO,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AION/BNB,AION/BNB,AION,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AION/BTC,AION/BTC,AION,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AION/BUSD,AION/BUSD,AION,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AION/ETH,AION/ETH,AION,ETH,spot,True,False,False,False,False,0.001,0.001
binance,binance:AION/USDT,AION/USDT,AION,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AIOT/USDT:USDT,AIOT/USDT:USDT,AIOT,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AIXBT/TRY,AIXBT/TRY,AIXBT,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:AIXBT/USDC,AIXBT/USDC,AIXBT,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AIXBT/USDT,AIXBT/USDT,AIXBT,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AIXBT/USDT:USDT,AIXBT/USDT:USDT,AIXBT,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AKRO/BTC,AKRO/BTC,AKRO,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AKRO/BUSD,AKRO/BUSD,AKRO,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AKRO/USDT,AKRO/USDT,AKRO,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AKT/USDT:USDT,AKT/USDT:USDT,AKT,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALCH/USDT:USDT,ALCH/USDT:USDT,ALCH,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALCX/BTC,ALCX/BTC,ALCX,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALCX/BUSD,ALCX/BUSD,ALCX,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALCX/USDT,ALCX/USDT,ALCX,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALGO/BIDR,ALGO/BIDR,ALGO,BIDR,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/BNB,ALGO/BNB,ALGO,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/BTC,ALGO/BTC,ALGO,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALGO/BUSD,ALGO/BUSD,ALGO,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/ETH,ALGO/ETH,ALGO,ETH,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/FDUSD,ALGO/FDUSD,ALGO,FDUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/PAX,ALGO/PAX,ALGO,PAX,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/RUB,ALGO/RUB,ALGO,RUB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/TRY,ALGO/TRY,ALGO,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALGO/TUSD,ALGO/TUSD,ALGO,TUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALGO/USD:ALGO,ALGO/USD:ALGO,ALGO,USD,swap,False,True,False,False,True,0.0005,0.0001
binance,binance:ALGO/USDC,ALGO/USDC,ALGO,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALGO/USDT,ALGO/USDT,ALGO,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALGO/USDT:USDT,ALGO/USDT:USDT,ALGO,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALICE/BIDR,ALICE/BIDR,ALICE,BIDR,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALICE/BNB,ALICE/BNB,ALICE,BNB,spot,True,False,False,False,False,0.001,0.001
